ID,Categoría,Tarea,Prioridad,Severidad,Esfuerzo (horas),Esfuerzo (días),Impacto,Sprint,Líneas Afectadas,Dependencias,Estado,Asignado A,Fecha Inicio,Fecha Fin,Notas
SEC-001,Seguridad,Eliminar passphrase predecible en generateDefaultPassphrase(),CRÍTICA,P0,2,0.25,MUY ALTO,1,146-155,Ninguna,Pendiente,,,,"Genera passphrase aleatoria segura o requiere env variable"
SEC-002,Seguridad,Implementar salt aleatorio único en deriveKey(),CRÍTICA,P0,4,0.5,MUY ALTO,1,"531-603, 941-1002",SEC-001,Pendiente,,,,Cada derivación debe usar salt único y almacenarlo con datos
SEC-003,Seguridad,Actualizar interfaz EncryptionResult para incluir salt,CRÍTICA,P0,1,0.13,ALTO,1,69-78,SEC-002,Pendiente,,,,Agregar campo salt: string a la interfaz
SEC-004,Seguridad,Hashear passphrase en cache keys (no almacenar plaintext),CRÍTICA,P0,3,0.38,ALTO,1,537-539,SEC-002,Pendiente,,,,Usar SHA-256 para hashear passphrase+salt antes de cachear
SEC-005,Seguridad,Aumentar iteraciones PBKDF2 a 600k (OWASP 2024),CRÍTICA,P0,2,0.25,MUY ALTO,1,"163, 177, 185",Ninguna,Pendiente,,,,"Dev: 100k, Staging: 600k, Prod: 600k"
SEC-006,Seguridad,Agregar validación que falle si no hay passphrase en producción,CRÍTICA,P0,2,0.25,ALTO,1,362-385,SEC-001,Pendiente,,,,Método requirePersistentPassphrase() que lance error en prod
SEC-007,Seguridad,Mejorar validación de passphrase (min 12 chars + complejidad),ALTA,P1,2,0.25,MEDIO,2,422-430,Ninguna,Pendiente,,,,"Min 12 chars, 3 de 4: mayús/minús/num/especial"
SEC-008,Seguridad,Implementar rotación de claves con reencryptData(),ALTA,P1,6,0.75,MEDIO,4,Nueva funcionalidad,Ninguna,Pendiente,,,,Permite re-encriptar con nueva passphrase
SEC-009,Seguridad,Agregar versionamiento de esquemas de encriptación,ALTA,P1,3,0.38,MEDIO,4,69-78,SEC-008,Pendiente,,,,Agregar campo version: number a EncryptionResult
SEC-010,Seguridad,Implementar rotateEncryptionKeys() para batch re-encriptación,ALTA,P1,4,0.5,MEDIO,4,Nueva funcionalidad,SEC-008,Pendiente,,,,Método para rotar claves de múltiples items con progress
SEC-011,Seguridad,Implementar sanitización de logs en producción,MEDIA,P2,3,0.38,BAJO,2,"237-244, 276-281",Ninguna,Pendiente,,,,Método secureLog() y sanitizeLogData() que redacta info sensible
SEC-012,Seguridad,Agregar detección de passphrases comunes en validación,MEDIA,P2,1,0.13,BAJO,2,422-430,SEC-007,Pendiente,,,,"Lista de passphrases comunes: password, 12345678, etc"
PERF-001,Performance,Implementar LRU Cache con límite de tamaño (100 items),ALTA,P1,4,0.5,ALTO,2,228,Ninguna,Pendiente,,,,Clase LRUCache con maxSize configurable
PERF-002,Performance,Agregar TTL al cache de claves (1 hora expiración),ALTA,P1,2,0.25,ALTO,2,228,PERF-001,Pendiente,,,,Interface CachedKey con timestamp
PERF-003,Performance,Implementar limpieza periódica del cache,ALTA,P1,2,0.25,MEDIO,2,Nueva funcionalidad,PERF-001,Pendiente,,,,setInterval cada 10 minutos para limpiar expirados
PERF-004,Performance,Optimizar arrayBufferToBase64() con chunks,MEDIA,P2,3,0.38,MEDIO,2,477-484,Ninguna,Pendiente,,,,Procesar en chunks de 32KB para evitar stack overflow
PERF-005,Performance,Optimizar base64ToArrayBuffer(),MEDIA,P2,2,0.25,MEDIO,2,491-498,Ninguna,Pendiente,,,,Usar Uint8Array.set() más eficiente
PERF-006,Performance,Implementar arrayBufferToBase64Async() para datos grandes,MEDIA,P2,3,0.38,MEDIO,4,Nueva funcionalidad,PERF-004,Pendiente,,,,Usa FileReader API para procesamiento asíncrono
PERF-007,Performance,Implementar Web Workers para PBKDF2 (opcional),BAJA,P3,8,1,ALTO (UX),4,531-603,Ninguna,Pendiente,,,,Evita bloquear UI durante derivación de clave
ARCH-001,Arquitectura,Refactorizar con SRP: Crear KeyDerivationService,ALTA,P1,4,0.5,ALTO,3,531-603,Ninguna,Pendiente,,,,Clase dedicada solo a derivación de claves
ARCH-002,Arquitectura,Refactorizar con SRP: Crear PasswordHasher,ALTA,P1,4,0.5,ALTO,3,696-886,ARCH-001,Pendiente,,,,Clase dedicada solo a hashing y verificación de passwords
ARCH-003,Arquitectura,Refactorizar con SRP: Crear DataEncryptor,ALTA,P1,4,0.5,ALTO,3,941-1081,ARCH-001,Pendiente,,,,Clase dedicada solo a encriptación/desencriptación
ARCH-004,Arquitectura,Refactorizar con SRP: Crear SecureTokenGenerator,ALTA,P1,2,0.25,MEDIO,3,632-662,Ninguna,Pendiente,,,,Clase dedicada solo a generación de tokens
ARCH-005,Arquitectura,Refactorizar con SRP: Crear CryptoConfigManager,ALTA,P1,3,0.38,MEDIO,3,301-339,Ninguna,Pendiente,,,,Clase dedicada solo a gestión de configuración
ARCH-006,Arquitectura,Implementar Strategy Pattern para algoritmos de encriptación,MEDIA,P2,6,0.75,MEDIO,3,941-1081,ARCH-003,Pendiente,,,,Interfaces: EncryptionStrategy con AesGcmStrategy y AesCbcStrategy
ARCH-007,Arquitectura,Actualizar EncryptHelper como Facade de servicios,MEDIA,P2,3,0.38,ALTO,3,220-290,"ARCH-001, ARCH-002, ARCH-003, ARCH-004, ARCH-005",Pendiente,,,,Mantener API pública delegando a servicios especializados
CODE-001,Código Limpio,Eliminar código comentado,BAJA,P3,0.5,0.06,BAJO,2,194-200,Ninguna,Pendiente,,,,Eliminar const ALGORITHM_NAMES comentado
CODE-002,Código Limpio,Eliminar comentarios TODO en funciones públicas,BAJA,P3,0.5,0.06,BAJO,2,1108-1146,Ninguna,Pendiente,,,,Reemplazar [IMPLEMENTACIÓN EN PRÓXIMA PARTE] con docs reales
CODE-003,Código Limpio,Extraer magic numbers a constantes nombradas,MEDIA,P2,2,0.25,MEDIO,2,"566, 736, 845, 958",Ninguna,Pendiente,,,,"Crear const CRYPTO_SIZES con valores: 256 bits, 32 bytes, etc"
TEST-001,Testing,Crear test suite de seguridad (password hashing),ALTA,P1,6,0.75,ALTO,3,Nuevos archivos,"SEC-001, SEC-002, SEC-003, SEC-004, SEC-005, SEC-006",Pendiente,,,,Tests: salt único, verificación correcta/incorrecta, constant-time, rehash
TEST-002,Testing,Crear test suite de seguridad (data encryption),ALTA,P1,6,0.75,ALTO,3,Nuevos archivos,"SEC-001, SEC-002, SEC-003, SEC-004, SEC-005, SEC-006",Pendiente,,,,"Tests: encrypt/decrypt, passphrase incorrecta, IV único, detección de tampering"
TEST-003,Testing,Crear test suite de seguridad (token generation),ALTA,P1,3,0.38,MEDIO,3,Nuevos archivos,Ninguna,Pendiente,,,,"Tests: unicidad, longitud correcta, solo hex chars"
TEST-004,Testing,Crear tests de performance y timing attacks,ALTA,P1,4,0.5,ALTO,3,Nuevos archivos,TEST-001,Pendiente,,,,Verificar constant-time comparison y performance benchmarks
TEST-005,Testing,Crear tests de integración end-to-end,MEDIA,P2,4,0.5,MEDIO,3,Nuevos archivos,"TEST-001, TEST-002",Pendiente,,,,"Tests: workflow completo de password, workflow de encriptación"
DOC-001,Documentación,Crear SECURITY.md con guías de seguridad,MEDIA,P2,2,0.25,ALTO,1,Nuevo archivo,Ninguna,Pendiente,,,,"Buenas prácticas, algoritmos usados, threat model, compliance"
DOC-002,Documentación,Actualizar .env.example con variables requeridas,MEDIA,P2,1,0.13,ALTO,1,.env.example,Ninguna,Pendiente,,,,"VITE_ENCRYPT_PASSPHRASE, VITE_ENCRYPT_ITERATIONS, VITE_ENCRYPT_ALGORITHM"
DOC-003,Documentación,Crear guía de migración para breaking changes,MEDIA,P2,3,0.38,ALTO,1,Nuevo archivo,"SEC-002, SEC-003",Pendiente,,,,Script para migrar datos legacy sin salt a nuevo formato
DOC-004,Documentación,Documentar ejemplos de uso completos,BAJA,P3,2,0.25,MEDIO,4,README.md,Todas,Pendiente,,,,"Ejemplos: password hashing, data encryption, token generation"